date,title,selling_price,MRP,discount,rating,reviews,availability
26-01-2024,boAt Bassheads 100 in Ear Wired Earphones with Mic(Black),348,999,65%,4.1 out of 5 stars,"I recently purchased the boAt BassHeads 100 in-ear wired headphones, and they have quickly become my go-to choice for everyday listening. ",In stock
24-08-2024,"ZEBRONICS Zeb-Bro in Ear Wired Earphones with Mic, 3.5mm Audio Jack, 10mm Drivers, Phone/Tablet Compatible(Blue) (Green)",139,399,65%,3.5 out of 5 stars,"The **ZEBRONICS Zeb-Bro in-ear wired earphones** are a fantastic find! 🎧 For such an affordable price, the **sound quality** is truly impressive. ",In stock
24-06-2024,"JBL C100SI Wired In Ear Headphones with Mic, JBL Pure Bass Sound, One Button Multi-function Remote, Premium Metallic Finish, Angled Buds for Comfort fit (Black)",599,"1,299.00",54%,4.1 out of 5 stars,"It has amazing sound quality.This Earphones are also Very Useful For Gaming.It's Mic Quality And Functionality Is So Good., It is much good, but okay for that priceLook is good ",In stock
12-12-2024,"Kreo Hydra C Type Dual Dynamic Driver In-Ear Wired Gaming Earphones with Microphone, Tangle-free Gaming Earphones with Noise Isolating Technology and EZ Volume Control Slider, Wired Headset for Gaming",998,"2,699.00",63%,4.5 out of 5 stars,"I recently purchased the Kreo Hydra C Type Dual Dynamic Driver In-Ear Wired Gaming Earphones, and I must say, they have exceeded my expectations in every way.",In stock
10-09-2024,"Kreo Hydra C Type Dual Dynamic Driver In-Ear Wired Gaming Earphones with Microphone, Tangle-free Gaming Earphones with Noise Isolating Technology and EZ Volume Control Slider, Wired Headset for Gaming",998,"2,699.00",63%,4.5 out of 5 stars,"I recently purchased the Kreo Hydra C Type Dual Dynamic Driver In-Ear Wired Gaming Earphones, and I must say, they have exceeded my expectations in every way. ",In stock
19-04-2024,"ZEBRONICS Zeb-Bro in Ear Wired Earphones with Mic, 3.5mm Audio Jack, 10mm Drivers, Phone/Tablet Compatible(Blue) (Black)",139,299,54%,3.5 out of 5 stars,"The **ZEBRONICS Zeb-Bro in-ear wired earphones** are a fantastic find! 🎧 For such an affordable price, the **sound quality** is truly impressive. ",In stock
19-08-2024,boAt Bassheads 225 Wired in Ear Earphone with Mic (Red),399,999,60%,4.1 out of 5 stars,"Good product, packaging, delivery all were satisfactory.Bass is on a higher side , overall build quality is good, Using from the last month , audio quality is very good",In stock
16-05-2024,"boAt Bassheads 100 C Wired Earphones with Type-C Jack, in-Line Microphone, in Ear, 10Mm Drivers, Signature Sound, Integrated Controls & Multi-Os Compatibility(Black)",549,"1,990.00",72%,4.1 out of 5 stars,"I recently purchased the boAt BassHeads 100 in-ear wired headphones, and they have quickly become my go-to choice for everyday listening. ",In stock
03-06-2024,boAt Bassheads 152 in Ear Wired Earphones with Mic(Active Black),449,"1,299.00",65%,4.1 out of 5 stars,"The earphone has metal case. Good built quality, sound, looks and feels awesome.The wire has a fabric cover. It's totally worth buying👍👍, Nylon braided wire quality is good, Sound quality is also good",In stock
27-10-2024,boAt Bassheads 100 in Ear Wired Earphones with Mic(Furious Red),348,999,65%,4.1 out of 5 stars,"I recently purchased the boAt BassHeads 100 in-ear wired headphones, and they have quickly become my go-to choice for everyday listening. Here’s a detailed review based on my experience:",In stock
23-03-2024,"boAt Airdopes 141, Low Latency, ENx Tech, 42HRS Battery, Fast Charge, IWP, IPX4, v5.1 Bluetooth Earbuds, TWS Ear Buds Wireless Earphones with mic (Bold Black)",849,"4,490.00",81%,4.3 out of 5 stars,I've used it for a month now. Battery life is decent. If you take out of the charging box the airpods will work for good 2.5 hrs. ,In stock
03-12-2024,"ZEBRONICS Buds 30 3.5mm Stereo Wired in Ear Earphones with Mic for Calling, Volume Control, Multifunction Button, 14mm Drivers, Stylish Eartip,1.2 Meter Durable Cable and Lightweight Design(White)",159,499,68%,3.7 out of 5 stars,I bought this earphones on may 2023. It is functioning exactly same even after 1.5 years. You can wear it for hours together without any strains as it does not shut down the ears completely. ,In stock
21-08-2024,"Ambrane Wired in Earphones with in-line Mic for Clear Calling, 14mm Dynamic Drivers for BoostedBass™, 3.5mm Jack, Multi-Functional Controller (Stringz 38 Lite, Black)",179,449,60%,3.8 out of 5 stars,I had stringz 74 of ambrane earlier and was totally surprised by the amazing bass quality that was also for 200₹ back then. So without hesitation I got this product stringz 38 lite in green colour. ,In stock
05-11-2024,boAt Bassheads 105 Wired in Ear Earphones with Mic (Black),399,999,60%,4.0 out of 5 stars,"Broke, feviquicked, still working.Got 2, one still in box. Wire is anyways better than battery. Who does not know that?, Overall Good. Looks good, but it will get dirty over time. ",In stock
29-02-2024,"ZEBRONICS Zeb-Bro in Ear Wired Earphones with Mic, 3.5mm Audio Jack, 10mm Drivers, Phone/Tablet Compatible(Blue)",139,399,65%,3.5 out of 5 stars,"The **ZEBRONICS Zeb-Bro in-ear wired earphones** are a fantastic find! 🎧 For such an affordable price, the **sound quality** is truly impressive. ",In stock
